Journal,Entry #,Deposit Date,Period Posting Date,GL Account,Description,Debit,Credit,BUN
"DD",59,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch b9dd6b49-c5c4-42af-8882-63ad3abc1369-PARK NUMBER 12MHP",,15337.74,"315",
"DD",60,"04/03/2023","04/2023","1051-000","RP : ACH Deposit 03/31/2023-PARK NUMBER 12MHP",2232.31,,"315",
"DD",60,"04/03/2023","04/2023","3400-000","RP : ACH Deposit 03/31/2023-PARK NUMBER 12MHP",,2232.31,"315",
"DD",61,"04/03/2023","04/2023","1055-000","CKS 04/03/2023 Batch 3ac0fa21-41f7-4a7e-80db-b26cae54d2ca-PARK NUMBER 13 MHP",23291.10,,"324",
"DD",61,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 3ac0fa21-41f7-4a7e-80db-b26cae54d2ca-PARK NUMBER 13 MHP",,23291.10,"324",
"DD",62,"04/03/2023","04/2023","1055-000","CKS 04/03/2023 Batch 5745cf82-6750-4619-933f-96735944681a-PARK NUMBER 13 MHP",17901.44,,"324",
"DD",62,"04/03/2023","04/2023","3400-000","CKS 04/03/2023 Batch 5745cf82-6750-4619-933f-96735944681a-PARK NUMBER 13 MHP",,17901.44,"324",
"DD",63,"04/03/2023","04/2023","1055-000","RP : ACH Deposit 03/30/2023-PARK NUMBER 13 MHP",1031.25,,"324",
"DD",63,"04/03/2023","04/2023","3400-000","RP : ACH Deposit 03/30/2023-PARK NUMBER 13 MHP",,1031.25,"324",
"DD",64,"04/03/2023","04/2023","1055-000","RP : ACH Deposit 03/31/2023-PARK NUMBER 13 MHP",3533.83,,"324",
"DD",64,"04/03/2023","04/2023","3400-000","RP : ACH Deposit 03/31/2023-PARK NUMBER 13 MHP",,3533.83,"324",
